-1,-1,0.5,0,-0.5,0,1,1,-1.1213,-0.7256
-1.1213,-0.7256,0.53212,0.021416,-0.45212,0.095754,1,1,-1.1655,-0.42888
-1.1655,-0.42888,0.56992,0.038495,-0.37883,0.18572,1,1,-1.1219,-0.13207
-1.1219,-0.13207,0.61467,0.050544,-0.27872,0.26393,1,1,-0.98788,0.13634
-0.98788,0.13634,0.66802,0.056155,-0.15145,0.3237,1,1,-0.77345,0.34615
-0.77345,0.34615,0.73198,0.053058,0.0017992,0.35803,1,1,-0.50185,0.47355
-0.50185,0.47355,0.80853,0.038154,0.17787,0.36073,1,1,-0.20413,0.51046
-0.20413,0.51046,0.89932,0.0079872,0.37191,0.32852,1,1,0.092756,0.46732
0.092756,0.46732,1.0055,-0.040342,0.57903,0.2631,1,1,0.37439,0.36398
0.37439,0.36398,1.1277,-0.10835,0.79655,0.17175,1,1,0.63325,0.21234
0.63325,0.21234,1.267,-0.19566,1.0249,0.067787,1,1,0.84851,0.0033857
0.84851,0.0033857,1.4237,-0.29656,1.2615,-0.019541,1,1,0.86491,0.050622
0.86491,0.050622,1.5029,-0.33784,1.4298,-0.028888,1,1,0.88424,0.096735
0.88424,0.096735,1.5717,-0.37976,1.5702,-0.04865,1,1,0.91279,-0.2019
0.91279,-0.2019,1.6889,-0.46097,1.6963,-0.075374,1,1,0.98118,-0.494
0.98118,-0.494,1.8165,-0.50357,1.7919,-0.059951,1,1,1.1052,-0.76716
1.1052,-0.76716,1.94,-0.50499,1.8576,-0.02477,1,1,1.295,-0.99953
1.295,-0.99953,2.0491,-0.47073,1.9024,0.019466,1,1,1.546,-1.1638
1.546,-1.1638,2.1384,-0.40806,1.9324,0.069731,1,1,1.8373,-1.2357
1.8373,-1.2357,2.205,-0.32309,1.9498,0.12534,1,1,2.1353,-1.2011
2.1353,-1.2011,2.2464,-0.22058,1.9548,0.18622,1,1,2.3998,-1.0597
2.3998,-1.0597,2.2595,-0.10444,1.9462,0.25249,1,1,2.5906,-0.82812
2.5906,-0.82812,2.241,0.021488,1.9214,0.32426,1,1,2.6751,-0.54028
2.6751,-0.54028,2.187,0.15287,1.8767,0.40128,1,1,2.64,-0.24234
2.64,-0.24234,2.0943,0.2845,1.8077,0.48264,1,1,2.4987,0.022292
2.4987,0.022292,1.9627,0.41146,1.7109,0.5669,1,1,2.2852,0.23307
2.2852,0.23307,1.7968,0.53195,1.5856,0.65353,1,1,2.0348,0.39828
2.0348,0.39828,1.6044,0.64967,1.4341,0.74458,1,1,1.9095,0.46991
1.9095,0.46991,1.3946,0.77222,1.2609,0.84444,1,1,1.8673,0.49664
1.8673,0.49664,1.2048,0.88365,1.0972,0.93897,1,1,1.8254,0.524
1.8254,0.524,1.0445,0.97726,0.95456,1.0209,1,1,1.8254,0.524
0,0,0,0,0,0,0,0,0,0
-1,-1,0.5,0,-0.5,0,1,1,-1.2328,-0.81077
-1.2328,-0.81077,0.52415,0.016099,-0.45551,0.088977,1,1,-1.3984,-0.56064
-1.3984,-0.56064,0.55191,0.029162,-0.39231,0.16214,1,1,-1.4804,-0.27205
-1.4804,-0.27205,0.58363,0.038755,-0.31351,0.21874,1,1,-1.469,0.027735
-1.469,0.027735,0.62,0.044232,-0.22109,0.25762,1,1,-1.3631,0.30841
-1.3631,0.30841,0.6621,0.044564,-0.11625,0.27693,1,1,-1.1706,0.53846
-1.1706,0.53846,0.71154,0.038123,0.00022549,0.27399,1,1,-0.9106,0.6882
-0.9106,0.6882,0.77044,0.022464,0.12764,0.24521,1,1,-0.61428,0.73504
-0.61428,0.73504,0.84137,-0.0056228,0.26502,0.18659,1,1,-0.3209,0.67234
-0.3209,0.67234,0.92693,-0.04916,0.41103,0.095517,1,1,-0.064445,0.51669
-0.064445,0.51669,1.0293,-0.10837,0.5651,-0.025906,1,1,0.14397,0.3009
